Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
1738353600000,102312.31000000,102312.31000000,102059.02000000,102118.09000000,330.23745000,1738354499999,33741183.08203400,101202,151.76358000,15505826.67506360,0
1738354500000,102118.10000000,102271.67000000,101694.87000000,101938.43000000,637.49710000,1738355399999,64979618.57749080,135835,269.98581000,27515377.70621260,0
1738355400000,101938.42000000,102321.42000000,101770.15000000,101855.27000000,443.10957000,1738356299999,45202982.16313720,116193,210.56497000,21478711.54772610,0
1738356300000,101855.26000000,102077.77000000,101603.23000000,101680.02000000,598.69625000,1738357199999,60953199.66475070,102136,254.20378000,25878443.01006570,0
1738357200000,101680.02000000,101948.96000000,101617.47000000,101654.83000000,263.40980000,1738358099999,26796821.53891340,63874,115.31257000,11731487.34339900,0
1738358100000,101654.84000000,101863.15000000,101608.00000000,101625.31000000,287.54566000,1738358999999,29243995.94203660,49842,141.02688000,14343071.24797910,0
1738359000000,101625.32000000,101958.88000000,101560.00000000,101896.01000000,294.74595000,1738359899999,30004021.18689830,47515,149.45517000,15212198.40039650,0
1738359900000,101896.01000000,102166.11000000,101784.68000000,102148.73000000,201.87326000,1738360799999,20599474.94200870,45898,97.78765000,9977463.29544130,0
1738360800000,102148.72000000,102241.64000000,101918.46000000,101995.10000000,173.91737000,1738361699999,17754186.25319300,38624,82.90288000,8463114.03666550,0
1738361700000,101995.10000000,102380.66000000,101949.39000000,102366.06000000,148.55783000,1738362599999,15184720.82673640,23943,100.24417000,10246741.87900290,0
1738362600000,102366.07000000,102480.00000000,102241.24000000,102473.48000000,220.67319000,1738363499999,22595656.97910920,26094,108.91384000,11151297.86516130,0
1738363500000,102473.49000000,102482.94000000,102050.00000000,102261.30000000,216.80883000,1738364399999,22164185.62585200,29670,107.89176000,11026210.64239560,0
1738364400000,102261.29000000,102261.29000000,101955.00000000,102143.20000000,240.07910000,1738365299999,24508607.78863900,37607,79.37145000,8104419.59999860,0
1738365300000,102143.21000000,102268.05000000,102119.12000000,102268.05000000,124.31224000,1738366199999,12706064.69672750,14334,92.05155000,9408753.88110200,0
1738366200000,102268.04000000,102290.99000000,102089.84000000,102290.99000000,89.04151000,1738367099999,9100515.63458350,21627,48.63473000,4970693.59451260,0
1738367100000,102290.99000000,102439.31000000,102230.04000000,102429.56000000,133.87954000,1738367999999,13706163.68207210,20731,75.11890000,7690455.23380250,0
1738368000000,102429.56000000,102570.64000000,102274.50000000,102531.98000000,140.40530000,1738368899999,14384414.55776550,33542,76.85983000,7873699.12627080,0
1738368900000,102531.98000000,102575.06000000,102274.50000000,102282.28000000,130.71293000,1738369799999,13388193.59122070,21465,50.96553000,5219681.90340240,0
1738369800000,102282.29000000,102499.00000000,102213.07000000,102458.65000000,130.45236000,1738370699999,13362140.37279810,20605,102.44672000,10494481.77010440,0
1738370700000,102458.64000000,102515.00000000,102354.97000000,102494.94000000,136.55117000,1738371599999,13994025.40300970,21573,95.42145000,9779656.24718260,0
1738371600000,102494.94000000,102612.37000000,102460.33000000,102606.03000000,105.60574000,1738372499999,10827795.31884350,26046,57.23431000,5868176.35873670,0
1738372500000,102606.03000000,102710.38000000,102550.00000000,102710.38000000,117.32010000,1738373399999,12042680.68929230,22927,78.26852000,8034323.50218620,0
1738373400000,102710.37000000,102780.27000000,102613.14000000,102778.00000000,147.65290000,1738374299999,15168860.15426380,23274,102.87048000,10568805.80833990,0
1738374300000,102778.99000000,102779.00000000,102532.50000000,102566.00000000,130.85956000,1738375199999,13430363.65934830,19285,42.30515000,4340818.98708540,0
1738375200000,102566.00000000,102697.17000000,102408.95000000,102684.15000000,132.58634000,1738376099999,13596389.96229870,26693,66.39087000,6808440.09603210,0
