Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
1738355580000,102186.37000000,102321.42000000,102061.73000000,102094.29000000,120.16435000,1738355759999,12279933.60028580,25850,44.02854000,4500610.92217600,0
1738355760000,102094.92000000,102128.00000000,101911.78000000,101944.43000000,80.26035000,1738355939999,8189157.44226670,19860,37.94983000,3871563.94803550,0
1738355940000,101944.43000000,101982.78000000,101793.94000000,101937.60000000,116.20800000,1738356119999,11839860.87821280,22116,58.83217000,5994333.78931690,0
1738356120000,101937.61000000,101967.96000000,101770.15000000,101855.27000000,60.30442000,1738356299999,6143209.70510300,20498,30.80130000,3137488.77831990,0
1738356300000,101855.26000000,102013.80000000,101750.00000000,101762.78000000,84.37099000,1738356479999,8595425.43826290,19480,30.17353000,3073529.87640520,0
1738356480000,101762.77000000,101985.69000000,101750.00000000,101978.46000000,124.83929000,1738356659999,12719685.00384150,19404,64.99229000,6621488.03855560,0
1738356660000,101978.46000000,102077.77000000,101776.04000000,101843.99000000,126.42421000,1738356839999,12887403.92082120,22726,49.05735000,5000389.89168640,0
1738356840000,101843.99000000,101869.60000000,101652.40000000,101661.95000000,115.41441000,1738357019999,11740316.52564350,20787,41.02074000,4172159.66152860,0
1738357020000,101661.95000000,101768.22000000,101603.23000000,101680.02000000,147.64735000,1738357199999,15010368.77618160,19739,68.95987000,7010875.54188990,0
1738357200000,101680.02000000,101856.00000000,101617.47000000,101816.00000000,93.78668000,1738357379999,9536459.71781220,17441,37.53523000,3817541.21175870,0
1738357380000,101816.01000000,101918.20000000,101750.00000000,101915.58000000,27.52915000,1738357559999,2803424.83541880,9815,14.50886000,1477581.77325060,0
1738357560000,101915.57000000,101948.96000000,101740.01000000,101769.27000000,41.88773000,1738357739999,4265532.53182130,11172,16.70444000,1701050.51357750,0
1738357740000,101769.27000000,101790.17000000,101622.50000000,101716.21000000,61.21530000,1738357919999,6226945.72298770,17675,25.73993000,2618030.98084260,0
1738357920000,101716.21000000,101731.99000000,101636.00000000,101654.83000000,38.99094000,1738358099999,3964458.73087340,7771,20.82411000,2117282.86396960,0
1738358100000,101654.84000000,101816.02000000,101610.02000000,101710.43000000,73.45258000,1738358279999,7470520.57017780,10731,48.24813000,4907644.62113700,0
1738358280000,101709.97000000,101863.15000000,101630.00000000,101671.99000000,41.04204000,1738358459999,4175396.93916640,12871,24.23440000,2465426.00405400,0
1738358460000,101672.00000000,101743.21000000,101608.00000000,101743.06000000,43.06127000,1738358639999,4378120.90109210,9916,24.10572000,2450920.95854230,0
1738358640000,101743.06000000,101796.00000000,101678.50000000,101684.79000000,61.62949000,1738358819999,6269461.74994870,8063,18.85920000,1918278.22622830,0
1738358820000,101684.79000000,101736.83000000,101610.19000000,101625.31000000,68.36028000,1738358999999,6950495.78165160,8261,25.57943000,2600801.43801750,0
1738359000000,101625.32000000,101707.08000000,101560.00000000,101646.32000000,59.45953000,1738359179999,6042207.47423700,13995,25.07926000,2548639.05136780,0
1738359180000,101646.10000000,101724.34000000,101600.00000000,101692.49000000,40.66824000,1738359359999,4134120.97219220,7985,28.26826000,2873623.95930030,0
1738359360000,101692.49000000,101905.59000000,101692.49000000,101882.98000000,32.12221000,1738359539999,3269176.92757940,10657,21.51413000,2189554.78200400,0
1738359540000,101882.98000000,101895.82000000,101843.02000000,101868.14000000,77.17811000,1738359719999,7862774.77900230,7161,43.01969000,4382501.43409740,0
1738359720000,101868.15000000,101958.88000000,101868.15000000,101896.01000000,85.31786000,1738359899999,8695741.03388740,7717,31.57383000,3217879.17362700,0
1738359900000,101896.01000000,102072.72000000,101784.68000000,102016.15000000,43.67848000,1738360079999,4452992.05481560,15588,25.05995000,2555251.92978950,0
1738360080000,102016.15000000,102166.11000000,102016.14000000,102121.69000000,53.10469000,1738360259999,5422587.26876800,9974,26.97217000,2753626.84565240,0
1738360260000,102121.69000000,102121.69000000,101906.40000000,101906.41000000,49.42206000,1738360439999,5042735.43110070,8593,13.31044000,1358009.59630390,0
1738360440000,101906.41000000,102056.00000000,101906.40000000,102056.00000000,27.35389000,1738360619999,2789460.77477950,7046,19.25209000,1963247.87651630,0
1738360620000,102056.00000000,102153.74000000,102055.99000000,102148.73000000,28.31414000,1738360799999,2891699.41254490,4697,13.19300000,1347327.04717920,0
1738360800000,102148.72000000,102241.64000000,102107.18000000,102132.94000000,65.34447000,1738360979999,6674940.10235800,8740,35.84408000,3661206.40603070,0
1738360980000,102132.94000000,102177.80000000,102046.35000000,102046.36000000,36.52146000,1738361159999,3729062.05681920,9245,15.18804000,1550840.01816880,0
1738361160000,102046.36000000,102071.50000000,101969.00000000,101969.01000000,33.20304000,1738361339999,3387196.85455630,6107,14.06391000,1434735.47518520,0
1738361340000,101969.01000000,102107.43000000,101918.46000000,102011.82000000,27.19268000,1738361519999,2774358.31000300,10840,11.58732000,1182127.17593210,0
1738361520000,102011.83000000,102020.25000000,101944.93000000,101995.10000000,11.65572000,1738361699999,1188628.92945650,3692,6.21953000,634204.96134870,0
1738361700000,101995.10000000,102068.29000000,101949.39000000,102042.36000000,16.04046000,1738361879999,1636314.89146380,5549,10.67198000,1088634.21355090,0
1738361880000,102042.36000000,102070.34000000,102005.79000000,102054.41000000,13.96286000,1738362059999,1424746.31905080,4631,6.91614000,705700.34252860,0
1738362060000,102054.42000000,102168.91000000,102054.41000000,102168.91000000,13.71858000,1738362239999,1401012.87608850,4114,10.99451000,1122863.70738790,0
1738362240000,102168.90000000,102275.60000000,102168.90000000,102250.01000000,40.06500000,1738362419999,4096176.14191670,4941,23.01786000,2353187.68597980,0
1738362420000,102250.00000000,102380.66000000,102250.00000000,102366.06000000,64.77093000,1738362599999,6626470.59821660,4708,48.64368000,4976355.92955570,0
1738362600000,102366.07000000,102371.99000000,102241.24000000,102340.49000000,56.76662000,1738362779999,5808955.43516110,7022,22.04217000,2255336.31785070,0
1738362780000,102340.49000000,102436.00000000,102316.00000000,102436.00000000,34.76780000,1738362959999,3559206.57632480,4777,22.79717000,2333865.61687330,0
1738362960000,102435.99000000,102474.06000000,102418.17000000,102474.05000000,41.80105000,1738363139999,4282452.75616960,4332,20.16615000,2065846.04433330,0
1738363140000,102474.05000000,102474.06000000,102340.00000000,102353.89000000,52.68782000,1738363319999,5395508.55511660,5475,22.84294000,2338646.78625250,0
1738363320000,102353.89000000,102480.00000000,102353.89000000,102473.48000000,34.64990000,1738363499999,3549533.65633710,4488,21.06541000,2157603.09985150,0
1738363500000,102473.49000000,102482.94000000,102333.48000000,102333.48000000,34.44328000,1738363679999,3527389.07489810,3278,5.48246000,561459.29290070,0
1738363680000,102333.49000000,102333.49000000,102213.19000000,102303.79000000,29.79585000,1738363859999,3047636.85528070,5753,11.96243000,1223426.62672310,0
1738363860000,102303.78000000,102303.79000000,102117.66000000,102117.66000000,46.77898000,1738364039999,4781692.72033750,4022,15.09144000,1542576.00826920,0
1738364040000,102117.67000000,102147.20000000,102050.00000000,102050.01000000,32.71776000,1738364219999,3341012.94979920,4253,11.87835000,1213040.81227200,0
1738364220000,102050.00000000,102261.30000000,102050.00000000,102261.30000000,73.07296000,1738364399999,7466454.02553650,12364,63.47708000,6485707.90223060,0
1738364400000,102261.29000000,102261.29000000,102068.99000000,102140.18000000,71.70745000,1738364579999,7324406.96858110,14444,32.37500000,3306398.57751210,0
1738364580000,102140.19000000,102140.19000000,102025.00000000,102037.78000000,63.75374000,1738364759999,6507875.54773280,4299,10.28309000,1049541.11273850,0
1738364760000,102037.78000000,102085.92000000,101955.00000000,102085.92000000,71.93361000,1738364939999,7336798.03969510,11592,15.67646000,1599121.61134270,0
1738364940000,102085.92000000,102210.32000000,102085.91000000,102193.74000000,20.73766000,1738365119999,2118712.23399560,3771,17.59292000,1797409.62273080,0
1738365120000,102193.73000000,102204.78000000,102143.20000000,102143.20000000,11.94664000,1738365299999,1220814.99863440,3501,3.44398000,351948.67567450,0
1738365300000,102143.21000000,102206.00000000,102119.12000000,102206.00000000,46.42156000,1738365479999,4743887.66500720,4760,35.78168000,3656674.01513080,0
1738365480000,102206.00000000,102233.88000000,102196.50000000,102233.88000000,28.44555000,1738365659999,2907366.41816190,3226,21.60835000,2208555.85462260,0
1738365660000,102233.88000000,102233.88000000,102203.72000000,102203.72000000,18.69144000,1738365839999,1910617.02796270,1855,10.39736000,1062802.43134490,0
1738365840000,102203.73000000,102237.97000000,102203.72000000,102237.97000000,15.27651000,1738366019999,1561525.85514520,2324,11.61135000,1186873.10045750,0
1738366020000,102237.97000000,102268.05000000,102237.97000000,102268.05000000,15.47718000,1738366199999,1582667.73045050,2169,12.65281000,1293848.47954620,0
1738366200000,102268.04000000,102274.51000000,102196.07000000,102196.08000000,36.85300000,1738366379999,3767389.48724640,4532,19.41807000,1984945.56855870,0
1738366380000,102196.07000000,102204.09000000,102091.61000000,102135.65000000,15.86353000,1738366559999,1620582.23551200,5196,5.14221000,525286.93290500,0
1738366560000,102135.66000000,102159.99000000,102089.84000000,102159.99000000,13.60393000,1738366739999,1389372.56955570,4731,8.25347000,842921.74145200,0
1738366740000,102159.98000000,102278.61000000,102159.98000000,102278.61000000,10.23336000,1738366919999,1045984.44629270,4842,8.90659000,910373.81252000,0
1738366920000,102278.61000000,102290.99000000,102268.37000000,102290.99000000,12.48769000,1738367099999,1277186.89597670,2326,6.91439000,707165.53907690,0
1738367100000,102290.99000000,102290.99000000,102230.04000000,102287.67000000,17.15612000,1738367279999,1754431.45660040,3687,7.60778000,777969.19601020,0
1738367280000,102287.67000000,102409.10000000,102287.66000000,102406.94000000,36.56397000,1738367459999,3743211.26061640,5562,29.42518000,3012443.51776890,0
1738367460000,102406.94000000,102413.28000000,102358.67000000,102381.01000000,48.75651000,1738367639999,4992413.74178990,4561,13.42781000,1374706.88364700,0
