Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
1738353000000,102225.69000000,102496.75000000,102185.97000000,102457.66000000,129.71476000,1738353299999,13267609.19942330,39585,74.80228000,7651811.33289170,0
1738353300000,102457.65000000,102527.92000000,102243.10000000,102312.32000000,98.78572000,1738353599999,10114335.31196850,31695,54.65417000,5595446.97543880,0
1738353600000,102312.31000000,102312.31000000,102100.00000000,102109.24000000,140.34292000,1738353899999,14340704.53330480,35413,55.10557000,5630469.10990490,0
1738353900000,102109.25000000,102312.00000000,102109.25000000,102178.44000000,83.41250000,1738354199999,8523187.74502100,30518,48.45963000,4951440.80116380,0
1738354200000,102178.44000000,102291.28000000,102059.02000000,102118.09000000,106.48203000,1738354499999,10877290.80370820,35271,48.19838000,4923916.76399490,0
1738354500000,102118.10000000,102271.67000000,102000.00000000,102070.91000000,149.08846000,1738354799999,15222198.65177660,42178,54.74488000,5590690.19267760,0
1738354800000,102070.91000000,102097.58000000,101694.87000000,101902.93000000,353.02589000,1738355099999,35956396.84200000,54429,123.93892000,12616676.59526070,0
1738355100000,101902.93000000,102020.00000000,101826.32000000,101938.43000000,135.38275000,1738355399999,13801023.08371420,39228,91.30201000,9308010.91827430,0
1738355400000,101938.42000000,102321.42000000,101888.76000000,102246.37000000,107.74612000,1738355699999,11001952.77115170,43175,65.03729000,6641894.05011510,0
1738355700000,102246.36000000,102248.42000000,101793.94000000,101841.47000000,240.65624000,1738355999999,24552324.83221150,37730,103.00756000,10505465.24704820,0
1738356000000,101841.47000000,101967.96000000,101770.15000000,101855.27000000,94.70721000,1738356299999,9648704.55977400,35288,42.52012000,4331352.25056280,0
1738356300000,101855.26000000,102013.80000000,101750.00000000,101925.62000000,146.44276000,1738356599999,14915664.26233550,29689,62.70018000,6385301.27253800,0
1738356600000,101925.62000000,102077.77000000,101700.00000000,101758.07000000,231.77356000,1738356899999,23620626.12929990,39504,91.71502000,9347318.92936570,0
1738356900000,101758.07000000,101768.22000000,101603.23000000,101680.02000000,220.47993000,1738357199999,22416909.27311530,32943,99.78858000,10145822.80816200,0
1738357200000,101680.02000000,101886.99000000,101617.47000000,101866.51000000,113.75780000,1738357499999,11569851.49716870,24541,47.11109000,4792513.25734260,0
1738357500000,101866.51000000,101948.96000000,101672.41000000,101719.69000000,78.59071000,1738357799999,8001070.64501070,22775,30.24797000,3079662.51273590,0
1738357800000,101719.69000000,101759.47000000,101622.50000000,101654.83000000,71.06129000,1738358099999,7225899.39673400,16558,37.95351000,3859311.57332050,0
1738358100000,101654.84000000,101863.15000000,101610.02000000,101720.48000000,104.10591000,1738358399999,10589696.22197800,20063,67.07872000,6823726.20624050,0
1738358400000,101720.47000000,101769.74000000,101608.00000000,101733.27000000,87.18436000,1738358699999,8866657.05017350,16515,36.74582000,3736477.33873200,0
1738358700000,101733.27000000,101796.00000000,101610.19000000,101625.31000000,96.25539000,1738358999999,9787642.66988510,13264,37.20234000,3782867.70300660,0
1738359000000,101625.32000000,101707.08000000,101560.00000000,101644.64000000,84.29953000,1738359299999,8566882.57521090,18320,41.22647000,4189808.28390070,0
1738359300000,101644.64000000,101905.59000000,101638.71000000,101895.49000000,57.85406000,1738359599999,5887541.18156350,17393,42.21611000,4296181.14201870,0
1738359600000,101895.49000000,101958.88000000,101844.45000000,101896.01000000,152.59236000,1738359899999,15549597.43012390,11802,66.01259000,6726208.97447710,0
1738359900000,101896.01000000,102149.60000000,101784.68000000,102132.60000000,74.59700000,1738360199999,7609580.58720180,21333,45.00620000,4591324.87691050,0
1738360200000,102132.60000000,102166.11000000,101906.40000000,101959.20000000,77.79252000,1738360499999,7939255.76096240,15388,23.10700000,2358008.08427580,0
1738360500000,101959.21000000,102153.74000000,101950.00000000,102148.73000000,49.48374000,1738360799999,5050638.59384450,9177,29.67445000,3028130.33425500,0
1738360800000,102148.72000000,102241.64000000,102065.00000000,102136.84000000,85.07600000,1738361099999,8689923.17721530,14970,44.31098000,4525868.97085040,0
1738361100000,102136.83000000,102136.84000000,101918.46000000,101969.59000000,59.32685000,1738361399999,6052783.46607220,12772,24.48077000,2497650.55813320,0
1738361400000,101969.60000000,102107.43000000,101944.93000000,101995.10000000,29.51452000,1738361699999,3011479.60990550,10882,14.11113000,1439594.50768190,0
1738361700000,101995.10000000,102070.34000000,101949.39000000,102050.74000000,27.59624000,1738361999999,2815396.92439270,9373,16.53596000,1686954.57657230,0
1738362000000,102050.74000000,102186.88000000,102050.74000000,102186.88000000,22.50740000,1738362299999,2298789.88849490,5797,15.98270000,1632439.35278080,0
1738362300000,102186.88000000,102380.66000000,102186.88000000,102366.06000000,98.45419000,1738362599999,10070534.01384880,8773,67.72551000,6927347.94964980,0
1738362600000,102366.07000000,102380.00000000,102241.24000000,102379.99000000,74.04604000,1738362899999,7577226.39530180,9030,32.78036000,3354288.34626110,0
1738362900000,102380.00000000,102474.06000000,102379.99000000,102460.05000000,71.84003000,1738363199999,7359457.84107080,8023,35.09073000,3594402.63962010,0
1738363200000,102460.05000000,102480.00000000,102340.00000000,102473.48000000,74.78712000,1738363499999,7658972.74273660,9041,41.04275000,4202606.87928010,0
1738363500000,102473.49000000,102482.94000000,102213.19000000,102315.87000000,54.97389000,1738363799999,5627086.65942260,8242,15.49920000,1585825.47853590,0
1738363800000,102315.87000000,102315.87000000,102117.66000000,102144.81000000,65.21637000,1738364099999,6666421.97961520,5817,21.62186000,2209876.54429350,0
1738364100000,102144.81000000,102261.30000000,102050.00000000,102261.30000000,96.61857000,1738364399999,9870676.98681420,15611,70.77070000,7230508.61956620,0
1738364400000,102261.29000000,102261.29000000,102025.00000000,102025.00000000,130.45850000,1738364699999,13321845.58427690,18053,39.97543000,4082235.11268230,0
1738364700000,102025.00000000,102116.80000000,101955.00000000,102116.80000000,79.82767000,1738364999999,8142445.31554950,13428,20.34557000,2075633.73861450,0
1738365000000,102116.80000000,102210.32000000,102116.79000000,102143.20000000,29.79293000,1738365299999,3044316.88881260,6126,19.05045000,1946550.74870180,0
1738365300000,102143.21000000,102232.69000000,102119.12000000,102232.69000000,71.47348000,1738365599999,7304311.97104920,7623,54.13631000,5532591.27473190,0
1738365600000,102232.69000000,102233.88000000,102203.72000000,102203.73000000,24.39456000,1738365899999,2493597.62255020,2569,14.96756000,1529990.19283680,0
1738365900000,102203.72000000,102268.05000000,102203.72000000,102268.05000000,28.44420000,1738366199999,2908155.10312810,4142,22.94768000,2346172.41353330,0
1738366200000,102268.04000000,102274.51000000,102108.13000000,102108.13000000,49.59630000,1738366499999,5069332.09300870,7504,22.76380000,2326774.29417690,0
1738366500000,102108.13000000,102196.32000000,102089.84000000,102196.32000000,19.29962000,1738366799999,1971194.23678950,8787,11.91030000,1216483.55384950,0
1738366800000,102196.32000000,102290.99000000,102196.31000000,102290.99000000,20.14559000,1738367099999,2059989.30478530,5336,13.96063000,1427435.74648620,0
1738367100000,102290.99000000,102363.99000000,102230.04000000,102359.70000000,29.38850000,1738367399999,3006170.26075250,7770,15.87126000,1623545.49318120,0
1738367400000,102359.70000000,102413.28000000,102358.67000000,102399.99000000,74.95884000,1738367699999,7675438.76959100,7097,35.92388000,3678203.62968260,0
1738367700000,102399.99000000,102439.31000000,102384.36000000,102429.56000000,29.53220000,1738367999999,3024554.65172860,5864,23.32376000,2388706.11093870,0
1738368000000,102429.56000000,102431.38000000,102274.50000000,102318.00000000,34.57296000,1738368299999,3538243.81727460,11632,13.93775000,1426249.29251360,0
1738368300000,102318.01000000,102511.42000000,102318.00000000,102511.42000000,30.40065000,1738368599999,3113912.21061110,8197,26.77547000,2742539.02961210,0
1738368600000,102511.42000000,102570.64000000,102409.32000000,102531.98000000,75.43169000,1738368899999,7732258.52987980,13713,36.14661000,3704910.80414510,0
1738368900000,102531.98000000,102575.06000000,102360.00000000,102376.98000000,72.88969000,1738369199999,7469818.71830590,11320,24.06356000,2466108.18648260,0
1738369200000,102376.98000000,102433.20000000,102376.97000000,102384.00000000,24.61086000,1738369499999,2520120.84192430,4681,14.02605000,1436248.46543670,0
1738369500000,102384.01000000,102384.01000000,102274.50000000,102282.28000000,33.21238000,1738369799999,3398254.03099050,5464,12.87592000,1317325.25148310,0
1738369800000,102282.29000000,102424.00000000,102213.07000000,102411.88000000,39.72520000,1738370099999,4065207.49518630,10046,26.19533000,2680878.01617410,0
1738370100000,102411.87000000,102499.00000000,102400.18000000,102491.98000000,49.94900000,1738370399999,5119019.32043050,5704,42.78323000,4384736.54209800,0
1738370400000,102491.97000000,102496.91000000,102434.90000000,102458.65000000,40.77816000,1738370699999,4177913.55718130,4855,33.46816000,3428867.21183230,0
1738370700000,102458.64000000,102499.00000000,102421.80000000,102431.38000000,49.77592000,1738370999999,5101024.78594790,6794,31.82900000,3261872.00737490,0
1738371000000,102431.38000000,102476.56000000,102354.97000000,102470.79000000,22.04533000,1738371299999,2257777.92996100,9437,10.51039000,1076417.28047220,0
1738371300000,102470.78000000,102515.00000000,102456.78000000,102494.94000000,64.72992000,1738371599999,6635222.68710080,5342,53.08206000,5441366.95933550,0
1738371600000,102494.94000000,102562.94000000,102471.75000000,102513.02000000,50.67643000,1738371899999,5195230.38398810,9430,26.63829000,2730978.82443010,0
1738371900000,102513.01000000,102574.16000000,102460.33000000,102562.09000000,33.51407000,1738372199999,3435926.88806130,10491,20.62012000,2113951.47260130,0
1738372200000,102562.09000000,102612.37000000,102532.19000000,102606.03000000,21.41524000,1738372499999,2196638.04679410,6125,9.97590000,1023246.06170530,0
1738372500000,102606.03000000,102663.47000000,102550.00000000,102630.51000000,32.78395000,1738372799999,3364506.02553630,7934,24.54838000,2519307.81603090,0
1738372800000,102630.51000000,102683.44000000,102576.00000000,102655.99000000,39.51739000,1738373099999,4055754.15926640,8218,19.55946000,2007468.73307010,0
1738373100000,102656.00000000,102710.38000000,102620.00000000,102710.38000000,45.01876000,1738373399999,4622420.50448960,6775,34.16068000,3507546.95308520,0
1738373400000,102710.37000000,102732.50000000,102613.14000000,102709.72000000,33.27145000,1738373699999,3416350.43370220,8017,14.78656000,1518242.08211750,0
1738373700000,102709.73000000,102780.27000000,102689.02000000,102743.99000000,91.60047000,1738373999999,9411782.70052780,10128,73.63694000,7566136.30966370,0
1738374000000,102744.00000000,102778.00000000,102724.99000000,102778.00000000,22.78098000,1738374299999,2340727.02003380,5129,14.44698000,1484427.41655870,0
1738374300000,102778.99000000,102779.00000000,102559.07000000,102640.00000000,56.15234000,1738374599999,5764942.21116560,8775,17.05579000,1750513.68217040,0
1738374600000,102639.99000000,102641.64000000,102620.00000000,102641.64000000,42.17902000,1738374899999,4328858.43252340,3944,8.92865000,916349.44332720,0
1738374900000,102641.64000000,102641.64000000,102532.50000000,102566.00000000,32.52820000,1738375199999,3336563.01565930,6566,16.32071000,1673955.86158780,0
1738375200000,102566.00000000,102606.70000000,102408.95000000,102570.42000000,85.65733000,1738375499999,8779536.73090090,13590,41.32898000,4236193.41468060,0
1738375500000,102570.42000000,102664.20000000,102532.47000000,102647.93000000,21.02515000,1738375799999,2157505.88719980,7432,12.86189000,1319763.49221800,0
1738375800000,102647.93000000,102697.17000000,102637.76000000,102684.15000000,25.90386000,1738376099999,2659347.34419800,5671,12.20000000,1252483.18913350,0
1738376100000,102684.15000000,102783.71000000,102684.14000000,102729.98000000,35.24471000,1738376399999,3620928.82577980,6324,21.91732000,2251696.10025610,0
1738376400000,102729.98000000,102762.57000000,102691.54000000,102691.54000000,22.96176000,1738376699999,2358899.12351510,3602,14.10204000,1448794.10683990,0
1738376700000,102691.55000000,102724.83000000,102688.40000000,102706.53000000,10.20434000,1738376999999,1048016.89858200,3764,5.28479000,542748.55819430,0
1738377000000,102706.53000000,102711.69000000,102600.00000000,102638.40000000,17.99422000,1738377299999,1846948.74326840,5771,6.99180000,717653.61054500,0
1738377300000,102638.41000000,102652.14000000,102588.23000000,102652.13000000,26.31144000,1738377599999,2700045.29268900,4567,8.16906000,838269.85000440,0
1738377600000,102652.14000000,102700.00000000,102644.37000000,102662.33000000,26.73217000,1738377899999,2744523.59092580,4666,9.78970000,1005091.15993420,0
1738377900000,102662.34000000,102702.59000000,102629.47000000,102629.47000000,28.15272000,1738378199999,2890296.94301080,5022,19.07603000,1958393.02985040,0
1738378200000,102629.48000000,102637.52000000,102466.17000000,102500.00000000,47.34264000,1738378499999,4854306.54214550,8816,10.70667000,1097666.86031610,0
1738378500000,102499.99000000,102535.16000000,102400.00000000,102467.77000000,88.50484000,1738378799999,9068991.77007840,9371,64.63536000,6623106.22423480,0
1738378800000,102466.96000000,102518.42000000,102378.51000000,102386.73000000,35.49604000,1738379099999,3637208.88341610,9240,11.49465000,1177813.23206610,0
1738379100000,102386.74000000,102421.95000000,102300.00000000,102421.95000000,53.58006000,1738379399999,5484620.20698000,8891,15.68543000,1605591.03915940,0
