Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
1738353600000,102312.31000000,102312.31000000,101694.87000000,101938.43000000,967.73455000,1738355399999,98720801.65952480,237037,421.74939000,43021204.38127620,0
1738355400000,101938.42000000,102321.42000000,101603.23000000,101680.02000000,1041.80582000,1738357199999,106156181.82788790,218329,464.76875000,47357154.55779180,0
1738357200000,101680.02000000,101948.96000000,101608.00000000,101625.31000000,550.95546000,1738358999999,56040817.48095000,113716,256.33945000,26074558.59137810,0
1738359000000,101625.32000000,102166.11000000,101560.00000000,102148.73000000,496.61921000,1738360799999,50603496.12890700,93413,247.24282000,25189661.69583780,0
1738360800000,102148.72000000,102380.66000000,101918.46000000,102366.06000000,322.47520000,1738362599999,32938907.07992940,62567,183.14705000,18709855.91566840,0
1738362600000,102366.07000000,102482.94000000,102050.00000000,102261.30000000,437.48202000,1738364399999,44759842.60496120,55764,216.80560000,22177508.50755690,0
1738364400000,102261.29000000,102268.05000000,101955.00000000,102268.05000000,364.39134000,1738366199999,37214672.48536650,51941,171.42300000,17513173.48110060,0
1738366200000,102268.04000000,102439.31000000,102089.84000000,102429.56000000,222.92105000,1738367999999,22806679.31665560,42358,123.75363000,12661148.82831510,0
1738368000000,102429.56000000,102575.06000000,102274.50000000,102282.28000000,271.11823000,1738369799999,27772608.14898620,55007,127.82536000,13093381.02967320,0
1738369800000,102282.29000000,102515.00000000,102213.07000000,102494.94000000,267.00353000,1738371599999,27356165.77580780,42178,197.86817000,20274138.01728700,0
1738371600000,102494.94000000,102710.38000000,102460.33000000,102710.38000000,222.92584000,1738373399999,22870476.00813580,48973,135.50283000,13902499.86092290,0
1738373400000,102710.37000000,102780.27000000,102532.50000000,102566.00000000,278.51246000,1738375199999,28599223.81361210,42559,145.17563000,14909624.79542530,0
1738375200000,102566.00000000,102783.71000000,102408.95000000,102706.53000000,200.99715000,1738376999999,20624234.81017560,40383,107.69502000,11051678.86132240,0
1738377000000,102706.53000000,102711.69000000,102400.00000000,102467.77000000,235.03803000,1738378799999,24105112.88211790,38213,119.36862000,12240180.73488490,0
